"State,move",QValue
"('---O-XXXO', 1)",0.0
"('---O-XXXO', 2)",0.0
"('---O-XXXO', 4)",0.0
"('---OO--XX', 1)",-0.51600807
"('---OO--XX', 2)",-0.49798162611
"('---OO--XX', 5)",0.0
"('---OO--XX', 6)",0.9996090178951418
"('---OO-X-X', 1)",-0.23409
"('---OO-X-X', 2)",-0.42988077
"('---OO-X-X', 5)",0.0
"('---OO-X-X', 7)",0.9996090178951418
"('---OO-XX-', 1)",-0.3884841
"('---OO-XX-', 2)",-0.5379344135999999
"('---OO-XX-', 5)",0.0
"('---OO-XX-', 8)",0.9999742407539535
"('---OOX--X', 1)",0.0
"('---OOX--X', 2)",0.9996090178951418
"('---OOX--X', 7)",0.0
"('---OOX-X-', 1)",0.0
"('---OOX-X-', 2)",0.0
"('---OOX-X-', 6)",0.0
"('---OOX-X-', 8)",0.0
"('---OOX-XX', 1)",0.46294254
"('---OOX-XX', 2)",0.261873
"('---OOX-XX', 6)",0.17739000000000002
"('---OOXOXX', 1)",0.0
"('---OOXOXX', 2)",0.882351
"('---OOXX--', 1)",0.0
"('---OOXX--', 2)",0.0
"('---OOXX--', 7)",0.0
"('---OOXX--', 8)",0.0
"('---OOXX-X', 1)",0.17739000000000002
"('---OOXX-X', 2)",0.42586886511
"('---OOXX-X', 7)",0.081
"('---OOXXOX', 1)",0.0
"('---OOXXOX', 2)",0.657
"('---OOXXX-', 1)",0.1377
"('---OOXXX-', 2)",0.1377
"('---OOXXX-', 8)",0.0
"('---OOXXXO', 1)",0.0
"('---OOXXXO', 2)",0.0
"('---OX----', 1)",0.0
"('---OX----', 2)",0.0
"('---OX----', 5)",0.0
"('---OX----', 6)",0.0
"('---OX----', 7)",0.0
"('---OX----', 8)",0.0
"('---OX---X', 1)",0.0
"('---OX---X', 2)",0.0
"('---OX---X', 5)",0.0
"('---OX---X', 6)",0.0
"('---OX---X', 7)",0.0
"('---OX--OX', 1)",0.0
"('---OX--OX', 2)",0.0
"('---OX--OX', 5)",0.0
"('---OX--OX', 6)",0.0
"('---OX--X-', 1)",0.0
"('---OX--X-', 2)",0.8799600484419104
"('---OX--X-', 5)",0.8878965286016129
"('---OX--X-', 6)",0.8271743592203465
"('---OX--X-', 8)",0.8599768174584701
"('---OX--XO', 1)",0.9988601104814627
"('---OX--XO', 2)",0.0
"('---OX--XO', 5)",0.0
"('---OX--XO', 6)",0.0
"('---OX-O-X', 1)",0.0
"('---OX-O-X', 2)",0.0
"('---OX-O-X', 5)",0.0
"('---OX-O-X', 7)",0.0
"('---OX-OX-', 1)",0.9986972691216717
"('---OX-OX-', 2)",0.0
"('---OX-OX-', 5)",0.0
"('---OX-OX-', 8)",0.0
"('---OX-OXX', 1)",0.0
"('---OX-OXX', 2)",0.4357152
"('---OX-OXX', 5)",0.69672370482
"('---OX-X--', 1)",0.8886821931652168
"('---OX-X--', 2)",0.0
"('---OX-X--', 5)",0.8903093159737904
"('---OX-X--', 7)",0.818103807323352
"('---OX-X--', 8)",0.8505819184280491
"('---OX-X-O', 1)",0.0
"('---OX-X-O', 2)",0.9976736948601279
"('---OX-X-O', 5)",0.0
"('---OX-X-O', 7)",0.0
"('---OX-XO-', 1)",0.0
"('---OX-XO-', 2)",0.99321776927151
"('---OX-XO-', 5)",0.0
"('---OX-XO-', 8)",0.0
"('---OX-XOX', 1)",0.19440000000000002
"('---OX-XOX', 2)",0.0
"('---OX-XOX', 5)",0.5060895390000001
"('---OX-XXO', 1)",0.3487941
"('---OX-XXO', 2)",0.54906984
"('---OX-XXO', 5)",0.591272217
"('---OXO--X', 1)",0.0
"('---OXO--X', 2)",0.0
"('---OXO--X', 6)",0.0
"('---OXO--X', 7)",0.0
"('---OXO-X-', 1)",0.9997263125265993
"('---OXO-X-', 8)",0.0
"('---OXO-XX', 1)",0.17739000000000002
"('---OXO-XX', 2)",0.575908218
"('---OXO-XX', 6)",0.31347
"('---OXOOXX', 1)",0.9717524751
"('---OXOOXX', 2)",0.0
"('---OXOX--', 1)",0.0
"('---OXOX--', 2)",0.9998084187686195
"('---OXOX--', 7)",0.0
"('---OXOX--', 8)",0.0
"('---OXOX-X', 1)",0.39681900000000003
"('---OXOX-X', 2)",0.081
"('---OXOX-X', 7)",0.33462477
"('---OXOXOX', 1)",0.0
"('---OXOXOX', 2)",0.94235199
"('---OXOXX-', 1)",0.23409
"('---OXOXX-', 2)",0.23409000000000002
"('---OXOXX-', 8)",0.29493477
"('---OXOXXO', 1)",0.9176457
"('---OXOXXO', 2)",0.657
"('---OXX---', 1)",0.0
"('---OXX---', 2)",0.0
"('---OXX---', 6)",0.0
"('---OXX---', 7)",0.0
"('---OXX---', 8)",0.0
"('---OXX--O', 1)",0.0
"('---OXX--O', 2)",0.0
"('---OXX--O', 6)",0.0
"('---OXX--O', 7)",0.0
"('---OXX-O-', 1)",0.0
"('---OXX-O-', 2)",0.0
"('---OXX-O-', 6)",0.0
"('---OXX-O-', 8)",0.0
"('---OXX-OX', 1)",0.6251702553
"('---OXX-OX', 2)",0.0
"('---OXX-OX', 6)",0.5627694233709
"('---OXX-XO', 1)",0.0
"('---OXX-XO', 2)",0.751347194328
"('---OXX-XO', 6)",0.23442335820000004
"('---OXXO--', 1)",0.0
"('---OXXO--', 2)",0.0
"('---OXXO--', 7)",0.0
"('---OXXO--', 8)",0.0
"('---OXXO-X', 1)",0.618499557
"('---OXXO-X', 2)",0.0
